id,name,activity_type,distance,elevation_gain,elevation_low,elevation_high,best_time,average_top_10_time,tenth_best_time,total_effort_count,total_athlete_count
27052859,Sentier littoral Ste Rose Lot Manguier - Début Coulée 77,Run,712.1,14.0,10.1,24.9,245,274.3,293.0,318.0,249.0
27105561,Sentir Littoral La Marine - La Cayenne,Run,2275.0,10.6,22.0,29.2,657,684.7,703.0,327.0,258.0
27052659,Sentier littoral Ste Rose Centre - La Cayenne,Run,1236.3,32.0,20.2,30.7,358,393.8,417.0,412.0,303.0
27053028,Sentier littoral Cayenne - La Marine,Run,2248.9,13.3,18.3,24.6,566,667.5,696.0,412.0,263.0
27058076,Photovoltaïque coulée 77,Run,952.4,161.5,259.5,421.0,412,515.3,609.0,95.0,24.0
26879435,Rte Ermitage,Run,554.0,0.0,10.5,11.6,93,104.6,112.0,4028.0,1407.0
26503981,Rond point Leader Price - Rond point Trou d'eau,Run,2540.4,10.7,11.0,19.3,500,573.6,613.0,1559.0,721.0
16113306,DH RAVINE TABAC,Run,1157.9,21.7,88.8,289.7,266,309.8,329.0,5718.0,1179.0
22249708,Tour Golf depuis carosse,Run,7728.0,255.0,68.0,290.0,2201,2420.6,2636.0,129.0,88.0
8308475,Montée Glacière (Gite Tamarins -> int. sentier Piton Rouge),Run,4050.7,683.5,1788.7,2471.8,2303,2510.0,,1484.0,1020.0
8554807,Roche Plate-> Col TI,Run,1650.6,0.0,1311.7,2016.6,682,727.6,759.0,19479.0,8921.0
19340059,Montée du Bloc : La Roche Ancrée -> Grand Place les Hauts,Run,1888.2,409.0,597.0,1003.8,1040,1218.4,1309.0,2389.0,1604.0
12955709,3 Roches -> Roche Plate,Run,3998.6,307.5,1137.5,1389.0,1848,1919.3,2029.0,8711.0,4676.0
4591649,Route Forestière n°8 du Maïdo Climb,Run,1634.3,595.3,1588.5,2091.9,763,887.0,956.0,23070.0,9676.0
4591633,Canalisation des Orangers Climb,Run,637.3,142.1,896.8,1037.1,382,438.2,459.0,4890.0,3183.0
25823350,TEMOR Vaudeville Glacière D+1000,Run,6671.2,1079.7,1413.7,2490.1,3559,4209.9,4542.0,401.0,281.0
18769035,Descente La Glacière - Gîte des Tamarins,Run,3820.1,0.0,1793.7,2473.1,1054,1271.89,,1653.0,1168.0
25538923,Piste VTT 3 - Retenue DFCI Tête Dure,Run,5769.2,457.8,1322.7,1766.0,2314,2391.9,2452.0,167.0,110.0
2862951,Sentier Du Piton Des Neiges Climb,Run,2871.78,579.26,2480.2,3033.9,1591,1788.1,1875.0,13879.0,8983.0
5293419,Marla (Stade) -> Col du Taibit,Run,1703.1,408.0,1638.0,2013.8,1099,1212.1,1274.0,8825.0,4826.0
15897880,DH Col du Taïbit -> Marla,Run,1184.7,0.0,1677.0,2098.0,474,573.7,618.0,21225.0,10546.0
9324819,DH Col des Boeufs -> La Nouvelle,Run,4160.1,19.0,1479.0,1972.0,1413,1521.0,1592.0,4749.0,3438.0
19482769,Descente Eden : Belvédère - sortie single,Run,2173.0,101.1,512.3,679.1,558,628.2,669.0,1084.0,443.0
22537617,montée Takamaka,Run,915.9,177.4,608.4,785.8,488,626.8,705.0,579.0,548.0
21618570,La verticale de Takamaka,Run,314.8,223.4,478.0,702.6,384,533.2,614.0,160.0,39.0
15061395,Bélouve -> Trou de Fer (par sentier),Run,3356.3,70.0,1376.0,1523.0,1204,1304.7,1361.0,1809.0,1731.0
10320820,sentier ecole normale climb,Run,2083.4,99.8,1429.4,1526.9,601,665.8,702.0,1153.0,1120.0
22838902,aire piknik - barriere Tak,Run,2447.9,149.5,657.7,782.5,673,752.5,813.0,149.0,48.0
25637568,Parking - intersection2,Run,2560.6,46.1,524.3,552.9,648,820.9,906.0,352.0,309.0
5673936,Sentier des Tamarins Climb,Run,1008.5,0.0,1469.3,1525.2,635,665.4,691.0,246.0,221.0
26969769,Ch Morange p2 ( croisé Safer - ch Cambourg ),Run,2686.1,139.6,120.9,260.5,698,772.5,860.0,274.0,51.0
22660145,st francois - sortie ravine seche,Run,2043.3,15.6,7.1,13.8,401,421.3,435.0,5704.0,322.0
22349436,montée Lamendière,Run,2286.2,198.8,288.4,487.2,728,810.8,898.0,161.0,31.0
13759231,SORTIE SAINT BENOIT VERS RIVIERE DES ROCHES,Run,5077.4,0.0,5.4,31.0,1157,1280.2,1358.0,2433.0,461.0
23160913,TEMOR CRATERE ,Run,5011.0,207.0,58.0,254.0,1194,1382.9,1571.0,51.0,23.0
