run_segment_id,run_segment_name,ride_segment_id,ride_segment_name,coverage_ratio,points_on_road,total_run_points,tolerance_meters,is_match
18699684,RSMA vers Croix des pêcheurs,6215467,Unknown,0.0,0,85,50,False
18699684,RSMA vers Croix des pêcheurs,16869055,Unknown,0.0,0,85,50,False
16886421,dernière cote RSMA,16508458,Unknown,0.0,0,59,50,False
27644747,Montée chemin Periassamy,8151165,Unknown,0.0,0,418,50,False
27644747,Montée chemin Periassamy,12928708,Unknown,0.0,0,418,50,False
27644747,Montée chemin Periassamy,19165307,Unknown,0.0,0,418,50,False
23127926,Petite boucle Belhomme-Perriassamy,17208644,Unknown,0.0,0,783,50,False
23127926,Petite boucle Belhomme-Perriassamy,14500544,Unknown,0.0,0,783,50,False
23127926,Petite boucle Belhomme-Perriassamy,17802470,Unknown,0.0,0,783,50,False
23127926,Petite boucle Belhomme-Perriassamy,11704102,Unknown,0.0,0,783,50,False
23127926,Petite boucle Belhomme-Perriassamy,18834876,Unknown,0.0,0,783,50,False
23127926,Petite boucle Belhomme-Perriassamy,8151165,Unknown,0.0,0,783,50,False
23127926,Petite boucle Belhomme-Perriassamy,12928708,Unknown,0.0,0,783,50,False
23127926,Petite boucle Belhomme-Perriassamy,19165307,Unknown,0.0,0,783,50,False
36598835,DH allee des cedres,21658066,Unknown,0.0,0,87,50,False
36598835,DH allee des cedres,19314912,Unknown,0.0,0,87,50,False
28781752,Descente 1et sentier après kiosque basse-vallée-jusqu'au petit raccourci route ,34166449,Unknown,0.0,0,724,50,False
28781752,Descente 1et sentier après kiosque basse-vallée-jusqu'au petit raccourci route ,27424735,Unknown,0.0,0,724,50,False
23003852,che boissy de 280m à 600m alt,22450477,Unknown,0.0,0,496,50,False
27644747,Montée chemin Periassamy,17208644,Unknown,0.0,0,418,50,False
27644747,Montée chemin Periassamy,14500544,Unknown,0.0,0,418,50,False
27644747,Montée chemin Periassamy,17802470,Unknown,0.0,0,418,50,False
27644747,Montée chemin Periassamy,11704102,Unknown,0.0,0,418,50,False
27644747,Montée chemin Periassamy,18834876,Unknown,0.0,0,418,50,False
27644747,Montée chemin Periassamy,18689221,Unknown,0.0,0,418,50,False
18699684,RSMA vers Croix des pêcheurs,16508458,Unknown,0.0,0,85,50,False
21769820,dernier km RSMA,10159795,Unknown,0.0,0,301,50,False
21769820,dernier km RSMA,6215467,Unknown,0.0,0,301,50,False
21769820,dernier km RSMA,16508458,Unknown,0.0,0,301,50,False
16886421,dernière cote RSMA,10159795,Unknown,0.0,0,59,50,False
16886421,dernière cote RSMA,6215467,Unknown,0.0,0,59,50,False
16886421,dernière cote RSMA,16869055,Unknown,0.0,0,59,50,False
27860035,piton volta int relais,26283814,Unknown,0.0,0,660,50,False
27860035,piton volta int relais,25914884,Unknown,0.0,0,660,50,False
19299581,Grande boucle cross vétiver,26283814,Unknown,0.0,0,108,50,False
19299581,Grande boucle cross vétiver,25914884,Unknown,0.0,0,108,50,False
21652295,houlala,26283814,Unknown,0.0,0,1180,50,False
21652295,houlala,25914884,Unknown,0.0,0,1180,50,False
39916380,Uh Ch Grosset Half 2,26283814,Unknown,0.0,0,505,50,False
39916380,Uh Ch Grosset Half 2,22475082,Unknown,0.0,0,505,50,False
39916380,Uh Ch Grosset Half 2,14899198,Unknown,0.0,0,505,50,False
39916380,Uh Ch Grosset Half 2,25914884,Unknown,0.0,0,505,50,False
23003852,che boissy de 280m à 600m alt,18578062,Unknown,0.0,0,496,50,False
23003852,che boissy de 280m à 600m alt,27319652,Unknown,0.0,0,496,50,False
23003852,che boissy de 280m à 600m alt,22475082,Unknown,0.0,0,496,50,False
23003852,che boissy de 280m à 600m alt,14899198,Unknown,0.0,0,496,50,False
23003852,che boissy de 280m à 600m alt,22474895,Unknown,0.0,0,496,50,False
18951442,Boucle escalier Foret Etang salé,27782129,Unknown,0.0,0,160,50,False
18951442,Boucle escalier Foret Etang salé,19078915,Unknown,0.0,0,160,50,False
14095120,boucle coulée verte,27782129,Unknown,0.0,0,424,50,False
14095120,boucle coulée verte,8506922,Unknown,0.0,0,424,50,False
14095120,boucle coulée verte,19078915,Unknown,0.0,0,424,50,False
32615707,"up 1,2km",26283814,Unknown,0.0,0,597,50,False
32615707,"up 1,2km",25914884,Unknown,0.0,0,597,50,False
11196053,parc des sport champ fleuri,40572679,Unknown,0.0,0,206,50,False
14053325,station tamoil / parking Jamaïque ,17803640,Unknown,0.0,0,140,50,False
11332241,400M ,40572679,Unknown,0.0,0,23,50,False
14131298,Bvd sud Vauban-Vinh San,40572679,Unknown,0.0,0,917,50,False
14703107,Ascension cap St Bernard,27163230,Unknown,0.0,0,157,50,False
14703107,Ascension cap St Bernard,4054629,Unknown,0.0,0,157,50,False
14703107,Ascension cap St Bernard,10779536,Unknown,0.0,0,157,50,False
20122004,"Mal à ""Larée""",21735432,Unknown,0.0,0,99,50,False
20122004,"Mal à ""Larée""",2069125,Unknown,0.0,0,99,50,False
6994322,Uphill from Le Golf.,16142032,Unknown,0.0,0,463,50,False
6994322,Uphill from Le Golf.,22061128,Unknown,0.0,0,463,50,False
6994322,Uphill from Le Golf.,27782129,Unknown,0.0,0,463,50,False
6994322,Uphill from Le Golf.,20240898,Unknown,0.0,0,463,50,False
6994322,Uphill from Le Golf.,23270814,Unknown,0.0,0,463,50,False
6994322,Uphill from Le Golf.,16282184,Unknown,0.0,0,463,50,False
6994322,Uphill from Le Golf.,19078915,Unknown,0.0,0,463,50,False
37397496,Stade de trail 2 by TFL,34424313,Unknown,0.0,0,523,50,False
37397496,Stade de trail 2 by TFL,19078915,Unknown,0.0,0,523,50,False
28380146,bord route tamarin par sentier ,34424313,Unknown,0.0,0,328,50,False
28380146,bord route tamarin par sentier ,20240898,Unknown,0.0,0,328,50,False
28380146,bord route tamarin par sentier ,23270814,Unknown,0.0,0,328,50,False
28380146,bord route tamarin par sentier ,19078915,Unknown,0.0,0,328,50,False
18951442,Boucle escalier Foret Etang salé,34424313,Unknown,0.0,0,160,50,False
18744070,descente toby les hauts,22855190,Unknown,0.0,0,271,50,False
18744070,descente toby les hauts,17101648,Unknown,0.0,0,271,50,False
18744070,descente toby les hauts,13850157,Unknown,0.0,0,271,50,False
23657675,Faux plat du lycée,18752137,Unknown,0.0,0,35,50,False
23657675,Faux plat du lycée,22528864,Unknown,0.0,0,35,50,False
23657675,Faux plat du lycée,21735432,Unknown,0.0,0,35,50,False
20122004,"Mal à ""Larée""",18752137,Unknown,0.0,0,99,50,False
14703107,Ascension cap St Bernard,6307489,Unknown,0.0,0,157,50,False
17664376,Cimetière de l'est-Barachois,38720462,Unknown,0.0,0,106,50,False
9647767,Montagne,10779536,Unknown,0.0,0,114,50,False
9647767,Montagne,6307489,Unknown,0.0,0,114,50,False
27763132,Montée Sainte-Vivienne,28961473,Unknown,0.0,0,43,50,False
27763132,Montée Sainte-Vivienne,6877856,Unknown,0.0,0,43,50,False
27763132,Montée Sainte-Vivienne,7101288,Unknown,0.0,0,43,50,False
27763132,Montée Sainte-Vivienne,39378154,Unknown,0.0,0,43,50,False
18127175,ch canal depuis ch niobe jusqua ch savign,9083576,Unknown,0.0,0,1185,50,False
18127175,ch canal depuis ch niobe jusqua ch savign,7222321,Unknown,0.0,0,1185,50,False
18127175,ch canal depuis ch niobe jusqua ch savign,11851219,Unknown,0.0,0,1185,50,False
18127175,ch canal depuis ch niobe jusqua ch savign,12928708,Unknown,0.0,0,1185,50,False
18135204,verger bret/ch.Canal,16582185,Unknown,0.0,0,494,50,False
18135204,verger bret/ch.Canal,12928708,Unknown,0.0,0,494,50,False
28154656,Cambuston - Stade Eaux Vives,6877856,Unknown,0.0,0,1071,50,False
28154656,Cambuston - Stade Eaux Vives,4426387,Unknown,0.0,0,1071,50,False
28154656,Cambuston - Stade Eaux Vives,3823161,Unknown,0.0,0,1071,50,False
28154656,Cambuston - Stade Eaux Vives,18242080,Unknown,0.0,0,1071,50,False
28154656,Cambuston - Stade Eaux Vives,30447255,Unknown,0.0,0,1071,50,False
